Isotope,Energy (keV),XS (mb),Info
25Mg,3970.73,7.11643,"(n,n') XS"
25Mg,2447.8300000000004,6.88558,"(n,n') XS"
25Mg,2056.04,6.82311,"(n,n') XS"
25Mg,2128.7400000000002,4.05175,"(n,n') XS"
25Mg,2635.64,3.66005,"(n,n') XS"
25Mg,3639.86,3.00415,"(n,n') XS"
25Mg,2933.14,2.89074,"(n,n') XS"
25Mg,3922.0299999999997,2.47175,"(n,n') XS"
25Mg,5746.2,2.36596,"(n,n') XS"
25Mg,836.84,2.36119,"(n,n') XS"
25Mg,4359.83,2.35085,"(n,n') XS"
25Mg,3747.44,2.25054,"(n,n') XS"
25Mg,2828.33,2.20673,"(n,n') XS"
25Mg,2216.4100000000003,2.12294,"(n,n') XS"
25Mg,1846.57,2.04295,"(n,n') XS"
25Mg,2388.14,1.96156,"(n,n') XS"
25Mg,1192.03,1.9224,"(n,n') XS"
25Mg,1978.31,1.78203,"(n,n') XS"
25Mg,4015.3800000000006,1.60886,"(n,n') XS"
25Mg,1912.0,1.57492,"(n,n') XS"
25Mg,3047.58,1.55239,"(n,n') XS"
25Mg,773.18,1.36333,"(n,n') XS"
25Mg,2006.1100000000001,1.31668,"(n,n') XS"
25Mg,5012.2,1.17966,"(n,n') XS"
25Mg,2737.8,1.17576,"(n,n') XS"
25Mg,5860.0,1.17548,"(n,n') XS"
25Mg,2801.46,1.12173,"(n,n') XS"
25Mg,1822.47,1.01999,"(n,n') XS"
25Mg,2513.83,0.9612,"(n,n') XS"
25Mg,3774.57,0.898809,"(n,n') XS"
25Mg,3384.8500000000004,0.808946,"(n,n') XS"
25Mg,3242.2,0.772182,"(n,n') XS"
25Mg,3302.34,0.607751,"(n,n') XS"
25Mg,3302.9,0.585783,"(n,n') XS"
25Mg,3909.56,0.574457,"(n,n') XS"
25Mg,1170.1,0.569295,"(n,n') XS"
25Mg,1973.8,0.512989,"(n,n') XS"
25Mg,5748.400000000001,0.496412,"(n,n') XS"
26Mg,1808.73,549.901,"(n,n') XS"
26Mg,1129.61,159.481,"(n,n') XS"
26Mg,2510.15,56.8887,"(n,n') XS"
26Mg,1003.2099999999999,42.6347,"(n,n') XS"
26Mg,3092.5699999999997,28.8749,"(n,n') XS"
26Mg,2541.35,27.098,"(n,n') XS"
26Mg,2132.82,26.1379,"(n,n') XS"
26Mg,1411.74,25.2029,"(n,n') XS"
26Mg,2523.8399999999997,19.7674,"(n,n') XS"
26Mg,2938.34,17.0657,"(n,n') XS"
26Mg,1896.79,16.8992,"(n,n') XS"
26Mg,1157.23,12.6267,"(n,n') XS"
26Mg,2353.4,10.8791,"(n,n') XS"
26Mg,5067.69,10.3773,"(n,n') XS"
26Mg,3695.97,8.25129,"(n,n') XS"
26Mg,1775.4,7.77818,"(n,n') XS"
26Mg,1774.05,7.2536,"(n,n') XS"
26Mg,3882.38,6.96744,"(n,n') XS"
26Mg,1365.52,6.67323,"(n,n') XS"
26Mg,1534.56,6.44002,"(n,n') XS"
26Mg,1779.83,6.05521,"(n,n') XS"
26Mg,1501.8899999999999,4.96343,"(n,n') XS"
