Isotope,Energy (keV),Sigma (b),DSigma (b)
108Pd,5719.82,0.032,0.004
108Pd,5828.09,0.032,0.003
108Pd,5887.03,0.011,0.005
108Pd,6153.36,0.0018,0.0005
110Pd,72.0,0.0015,0.0004
110Pd,191.12,0.0039,0.0011
110Pd,122.8,0.0025,0.0015
110Pd,195.0,0.0022,0.0011
110Pd,187.1,0.0008,0.0
110Pd,258.89,0.0018,0.0008
110Pd,189.2,0.0013,0.0
110Pd,312.0,0.0043,0.0009
110Pd,5466.4,0.0085,0.0021
110Pd,5531.9,0.012,0.002
107Ag,78.91,3.9,0.12
107Ag,46.26,0.0114,0.0021
107Ag,113.931,0.048,0.006
107Ag,192.9,2.2,0.06
107Ag,127.474,0.0072,0.001
107Ag,206.46,3.58,0.07
107Ag,136.33,0.03,0.004
107Ag,215.15,1.55,0.03
107Ag,87.944,0.022,0.003
107Ag,101.55,0.189,0.02
107Ag,294.39,2.05,0.12
107Ag,324.4,0.074,0.007
107Ag,131.806,0.0091,0.001
107Ag,259.17,1.56,0.025
107Ag,148.79,0.214,0.006
107Ag,172.63,0.031,0.007
107Ag,147.11,0.114,0.005
107Ag,328.99,0.795,0.012
107Ag,129.0,0.017,0.004
107Ag,301.75,0.187,0.015
107Ag,429.09,0.253,0.011
107Ag,178.32,0.208,0.008
107Ag,437.713,0.079,0.01
107Ag,204.02,0.088,0.022
107Ag,464.04,0.236,0.02
107Ag,155.22,0.081,0.013
107Ag,239.1,0.327,0.011
107Ag,372.1,0.09,0.03
107Ag,563.91,0.191,0.006
107Ag,499.97,0.265,0.013
107Ag,249.15,0.087,0.007
107Ag,113.51,0.52,0.03
107Ag,519.1,0.017,0.006
107Ag,227.01,0.03,0.014
107Ag,311.84,0.064,0.007
107Ag,399.87,0.093,0.006
107Ag,412.99,0.027,0.006
107Ag,527.23,0.371,0.01
107Ag,396.25,0.138,0.006
107Ag,404.89,0.027,0.007
107Ag,291.21,0.039,0.007
107Ag,237.63,0.26,0.05
107Ag,322.19,0.072,0.007
107Ag,410.31,0.142,0.006
107Ag,616.89,0.2,0.04
107Ag,320.36,0.091,0.007
107Ag,350.99,0.145,0.012
107Ag,565.9,0.068,0.005
107Ag,248.17,0.073,0.007
107Ag,331.65,0.025,0.008
107Ag,299.95,1.15,0.05
107Ag,472.68,0.065,0.007
107Ag,485.68,0.098,0.007
107Ag,599.87,0.37,0.03
107Ag,680.48,0.05,0.011
107Ag,365.41,0.16,0.04
107Ag,626.41,0.39,0.06
107Ag,110.24,0.273,0.022
107Ag,191.39,1.81,0.05
107Ag,384.31,0.128,0.022
107Ag,629.499,0.12,0.03
107Ag,522.43,0.125,0.007
107Ag,636.53,0.31,0.11
107Ag,380.9,1.59,0.03
107Ag,640.18,0.24,0.06
107Ag,386.18,0.192,0.024
107Ag,558.83,0.041,0.009
107Ag,572.1,0.08,0.006
107Ag,685.8,0.081,0.02
107Ag,236.85,1.95,0.03
107Ag,263.9,0.031,0.009
107Ag,307.64,0.051,0.007
107Ag,441.79,0.181,0.021
107Ag,201.31,0.45,0.03
107Ag,212.3,0.26,0.04
107Ag,286.91,0.4,0.025
107Ag,465.37,0.46,0.03
107Ag,439.69,0.216,0.011
107Ag,819.26,0.291,0.006
107Ag,349.95,0.7,0.04
107Ag,479.36,0.095,0.012
107Ag,652.041,0.117,0.019
107Ag,574.77,0.299,0.007
107Ag,662.55,0.088,0.012
107Ag,664.91,0.329,0.022
107Ag,687.48,0.35,0.05
107Ag,392.4,0.067,0.012
107Ag,521.02,0.064,0.006
107Ag,603.77,0.045,0.008
107Ag,244.56,0.146,0.02
107Ag,881.01,0.178,0.007
107Ag,262.31,0.161,0.011
107Ag,175.1,0.066,0.007
107Ag,295.22,0.1,0.04
107Ag,895.48,0.376,0.008
107Ag,438.26,0.191,0.011
107Ag,708.1,0.017,0.005
107Ag,796.15,0.38,0.04
107Ag,808.81,0.055,0.007
107Ag,923.8,0.051,0.008
107Ag,674.07,0.094,0.016
107Ag,143.94,0.121,0.005
107Ag,401.61,0.076,0.006
107Ag,718.17,0.199,0.012
107Ag,1013.11,0.698,0.013
107Ag,255.06,0.013,0.005
107Ag,1034.02,0.073,0.01
107Ag,756.6,0.046,0.012
107Ag,845.19,0.085,0.019
107Ag,1051.36,0.225,0.008
107Ag,232.61,0.052,0.011
107Ag,857.2,0.045,0.017
107Ag,972.69,0.078,0.009
107Ag,433.98,0.017,0.003
107Ag,670.53,0.104,0.017
107Ag,1079.68,0.165,0.015
107Ag,279.05,0.059,0.017
107Ag,376.71,0.294,0.013
107Ag,611.98,0.09,0.03
107Ag,771.8,0.044,0.025
107Ag,890.54,0.064,0.008
107Ag,326.87,0.07,0.005
107Ag,781.21,0.094,0.022
107Ag,812.1,0.131,0.005
107Ag,497.57,0.157,0.009
107Ag,902.46,0.029,0.009
107Ag,646.13,0.051,0.007
107Ag,702.9,0.012,0.004
107Ag,746.21,0.088,0.01
107Ag,918.97,0.124,0.022
107Ag,580.49,0.06,0.009
107Ag,938.04,0.186,0.006
107Ag,950.91,0.043,0.005
107Ag,597.44,0.027,0.007
107Ag,960.13,0.199,0.01
107Ag,969.62,0.052,0.008
107Ag,6165.1,0.044,0.004
107Ag,6219.7,0.063,0.004
107Ag,6258.5,0.059,0.005
107Ag,6268.8,0.146,0.007
107Ag,6296.9,0.021,0.003
107Ag,6310.9,0.029,0.003
107Ag,6372.7,0.11,0.04
107Ag,6390.2,0.013,0.003
107Ag,6453.7,0.013,0.003
107Ag,6467.2,0.013,0.003
107Ag,6553.2,0.0105,0.0025
107Ag,6557.7,0.0056,0.0023
107Ag,6563.1,0.015,0.003
107Ag,6567.2,0.048,0.004
107Ag,6617.0,0.0049,0.0012
107Ag,6692.1,0.01,0.003
107Ag,6707.6,0.083,0.007
107Ag,6807.5,0.021,0.003
107Ag,6892.1,0.079,0.006
107Ag,6933.9,0.009,0.003
107Ag,6977.2,0.121,0.008
107Ag,7065.3,0.103,0.008
107Ag,7078.5,0.291,0.013
107Ag,7271.8,0.284,0.014
109Ag,117.45,3.85,0.07
109Ag,72.67,0.9,1.5
109Ag,198.72,7.75,0.13
109Ag,235.62,4.62,0.07
109Ag,236.89,1.3,0.9
109Ag,68.36,0.113,0.008
109Ag,267.08,2.73,0.06
109Ag,79.91,1.0,1.6
109Ag,152.58,0.326,0.006
109Ag,105.95,0.87,0.13
109Ag,304.67,0.03,0.04
109Ag,338.74,0.595,0.01
109Ag,93.34,0.5,0.3
109Ag,161.69,0.217,0.008
109Ag,360.41,1.55,0.03
109Ag,144.08,0.04,0.05
109Ag,380.97,0.7,0.5
109Ag,220.2,0.05,0.05
109Ag,424.93,0.076,0.009
109Ag,195.33,0.5,0.03
109Ag,313.91,0.025,0.006
109Ag,431.36,0.248,0.013
109Ag,347.91,0.061,0.006
109Ag,108.28,0.065,0.015
109Ag,164.02,0.041,0.006
109Ag,231.8,0.04,0.05
109Ag,269.97,0.565,0.025
109Ag,166.62,0.295,0.01
109Ag,272.58,0.069,0.009
109Ag,124.86,0.158,0.012
109Ag,366.97,0.21,0.04
109Ag,115.59,0.071,0.018
109Ag,495.71,1.08,0.018
109Ag,524.47,0.804,0.011
109Ag,335.95,0.044,0.007
109Ag,408.61,0.459,0.009
109Ag,526.07,0.364,0.007
109Ag,231.46,0.224,0.012
109Ag,269.05,0.6,0.5
109Ag,536.13,1.09,0.016
109Ag,313.09,0.07,0.05
109Ag,549.56,1.54,0.024
109Ag,357.82,0.561,0.022
109Ag,593.86,0.484,0.011
109Ag,231.7,0.04,0.05
109Ag,378.11,0.744,0.02
109Ag,614.15,0.2,0.05
109Ag,136.58,0.05,0.04
109Ag,252.17,0.096,0.006
109Ag,416.93,0.243,0.013
109Ag,652.96,0.255,0.012
109Ag,194.56,0.2,0.3
109Ag,302.83,0.129,0.014
109Ag,283.87,0.067,0.009
109Ag,304.43,0.135,0.009
109Ag,427.96,0.273,0.011
109Ag,484.18,0.253,0.018
109Ag,461.56,0.265,0.016
109Ag,698.44,0.158,0.006
109Ag,169.91,0.069,0.008
109Ag,220.77,0.08,0.11
109Ag,724.75,0.393,0.014
109Ag,488.66,0.149,0.012
109Ag,387.99,0.121,0.021
109Ag,748.4,0.328,0.009
109Ag,223.85,0.05,0.015
109Ag,446.1,0.183,0.01
109Ag,632.47,0.42,0.12
109Ag,750.77,0.529,0.011
109Ag,767.01,0.31,0.04
109Ag,468.65,0.166,0.009
109Ag,655.02,0.107,0.014
109Ag,773.32,0.22,0.03
109Ag,316.88,0.206,0.007
109Ag,586.85,0.459,0.008
109Ag,667.26,0.074,0.014
109Ag,785.57,0.34,0.04
109Ag,610.33,0.105,0.025
109Ag,342.53,0.048,0.006
109Ag,450.8,0.098,0.016
109Ag,544.14,0.34,0.03
109Ag,282.66,0.079,0.01
109Ag,620.07,0.4,0.05
109Ag,5539.17,0.106,0.009
109Ag,5545.6,0.106,0.012
109Ag,5554.8,0.111,0.01
109Ag,5580.62,0.302,0.014
109Ag,5615.11,0.208,0.011
109Ag,5622.6,0.04,0.006
109Ag,5632.4,0.049,0.008
109Ag,5642.24,0.199,0.012
109Ag,5701.49,0.716,0.018
109Ag,5710.22,0.229,0.01
109Ag,5773.12,0.225,0.009
109Ag,5795.0,0.513,0.014
109Ag,5807.8,0.022,0.005
109Ag,5822.2,0.017,0.006
109Ag,5913.3,0.084,0.007
109Ag,5996.81,0.154,0.007
109Ag,6022.46,0.25,0.01
109Ag,6034.7,0.08,0.006
109Ag,6057.25,0.663,0.019
109Ag,6082.48,0.057,0.005
109Ag,6101.98,0.08,0.005
109Ag,6154.2,0.02,0.003
109Ag,6174.88,0.018,0.004
109Ag,6193.01,0.054,0.004
109Ag,6195.4,0.008,0.003
109Ag,6281.09,0.056,0.004
109Ag,6311.44,0.029,0.003
109Ag,6383.07,0.043,0.005
109Ag,6427.03,0.059,0.005
109Ag,6540.92,0.259,0.011
109Ag,6571.1,0.045,0.004
109Ag,6609.27,0.033,0.004
109Ag,6807.13,0.083,0.003
110Cd,245.3,274.0,25.0
110Cd,96.73,3.1,0.6
110Cd,342.2,100.0,0.0
110Cd,171.3,57.0,6.0
110Cd,203.8,0.3,0.06
110Cd,278.2,3.0,0.4
110Cd,374.8,12.5,0.9
110Cd,620.3,38.0,4.0
110Cd,284.3,29.0,3.0
110Cd,335.8,3.2,0.6
110Cd,410.7,5.4,0.9
110Cd,752.6,7.9,0.8
110Cd,435.1,5.5,0.9
110Cd,437.4,2.0,0.6
110Cd,608.4,12.3,2.5
110Cd,449.3,0.47,0.14
110Cd,524.8,1.8,0.2
110Cd,867.6,16.0,5.0
110Cd,569.0,2.1,0.4
110Cd,740.8,0.8,0.12
110Cd,770.3,1.0,0.4
110Cd,1016.7,14.2,1.4
110Cd,426.7,0.46,0.14
110Cd,704.7,6.0,1.5
110Cd,211.8,0.4,0.08
110Cd,457.8,1.8,0.4
110Cd,832.3,9.4,0.8
110Cd,1078.2,7.1,0.9
110Cd,494.8,1.5,0.3
110Cd,773.0,3.4,0.9
110Cd,1115.5,6.8,0.9
110Cd,701.3,6.8,1.5
110Cd,776.0,2.8,0.9
110Cd,569.0,5.2,1.0
110Cd,1190.4,0.75,0.19
110Cd,839.0,0.8,0.3
110Cd,420.8,1.4,0.5
110Cd,857.8,0.3,0.08
110Cd,1028.9,1.8,0.4
110Cd,892.2,0.21,0.08
110Cd,882.6,0.9,0.4
110Cd,1054.1,0.7,0.3
110Cd,646.0,9.6,1.4
110Cd,984.4,0.11,0.08
110Cd,1326.2,3.0,0.4
110Cd,587.4,0.6,0.15
110Cd,719.7,4.8,0.7
110Cd,942.3,0.12,0.04
110Cd,1340.2,4.4,0.6
110Cd,925.4,1.5,0.4
110Cd,998.7,4.7,0.9
110Cd,725.4,1.7,0.6
110Cd,929.5,0.63,0.19
110Cd,1101.0,4.8,1.2
110Cd,638.7,0.38,0.13
110Cd,1049.3,2.1,0.5
110Cd,1146.1,4.2,0.6
110Cd,1392.2,0.43,0.09
110Cd,1130.5,3.6,0.7
110Cd,1471.8,3.1,0.8
110Cd,825.9,1.2,0.2
110Cd,1109.0,0.66,0.23
110Cd,1266.1,0.16,0.05
110Cd,793.3,1.2,0.2
110Cd,1301.4,0.8,0.28
110Cd,1209.3,4.0,1.1
110Cd,1305.8,1.6,0.4
110Cd,1551.9,0.96,0.19
110Cd,932.2,2.4,0.6
110Cd,1135.9,0.1,0.05
110Cd,680.0,1.9,0.5
110Cd,1250.0,0.5,0.12
110Cd,939.3,0.52,0.15
110Cd,1349.3,0.35,0.13
110Cd,1691.7,3.5,0.5
110Cd,601.9,0.6,0.18
110Cd,1717.2,1.6,0.3
110Cd,872.7,3.0,0.6
110Cd,1494.5,2.7,0.4
110Cd,1740.0,0.36,0.14
110Cd,1036.1,0.62,0.12
110Cd,1447.2,0.8,0.25
110Cd,1790.0,0.83,0.25
110Cd,1801.8,0.8,0.22
110Cd,811.9,2.0,0.7
110Cd,1486.0,1.5,0.4
110Cd,1828.4,0.75,0.22
110Cd,975.6,1.4,0.2
110Cd,1221.9,1.0,0.4
110Cd,1500.6,0.67,0.2
110Cd,1597.8,2.0,0.5
110Cd,1842.4,3.3,0.5
110Cd,1432.3,0.54,0.11
110Cd,1506.0,1.7,0.6
110Cd,1849.2,1.5,0.3
110Cd,1054.1,0.8,0.4
110Cd,1489.4,2.2,0.4
110Cd,1575.7,0.35,0.12
110Cd,958.0,0.4,0.18
110Cd,1632.5,5.5,0.9
110Cd,666.1,0.5,0.18
110Cd,1161.4,0.22,0.07
110Cd,1174.0,0.6,0.24
110Cd,1664.4,0.23,0.11
110Cd,2005.6,1.3,0.3
110Cd,900.2,0.2,0.08
110Cd,1263.0,1.0,0.3
110Cd,2016.2,1.0,0.3
110Cd,1697.2,1.9,0.8
110Cd,1792.7,1.4,0.5
110Cd,2037.9,0.43,0.12
110Cd,353.4,1.8,0.3
110Cd,493.1,4.4,0.7
110Cd,1423.2,0.2,0.08
110Cd,2045.1,2.2,0.3
110Cd,907.0,0.4,0.16
110Cd,1243.0,1.5,0.3
110Cd,1343.2,0.48,0.19
110Cd,808.9,1.1,0.4
110Cd,1888.8,0.7,0.25
110Cd,1737.3,0.46,0.16
110Cd,1299.0,3.0,0.9
110Cd,2165.6,1.0,0.3
110Cd,1157.7,0.1,0.05
110Cd,1219.2,0.9,0.3
110Cd,1483.6,0.36,0.15
110Cd,1990.6,0.37,0.13
110Cd,2236.1,0.85,0.21
110Cd,1225.6,1.7,0.6
110Cd,1621.9,0.61,0.21
110Cd,1901.2,0.7,0.3
110Cd,1090.4,0.41,0.14
110Cd,1415.3,1.0,0.4
110Cd,1660.4,1.5,0.5
110Cd,1937.9,0.5,0.18
110Cd,1983.5,0.3,0.11
110Cd,1042.5,1.1,0.3
110Cd,1528.1,1.2,0.3
110Cd,1965.8,1.12,0.23
110Cd,1105.7,1.6,0.4
110Cd,1826.4,1.6,0.7
110Cd,2103.6,2.8,0.6
110Cd,1022.5,0.51,0.13
110Cd,1155.3,0.41,0.15
110Cd,2152.9,1.11,0.16
110Cd,2311.7,1.9,0.4
110Cd,1452.2,0.17,0.05
110Cd,1701.6,1.2,0.4
110Cd,1248.4,0.26,0.03
110Cd,2171.2,1.4,0.3
110Cd,2245.7,1.2,0.3
110Cd,2032.8,0.48,0.14
110Cd,2408.2,0.34,0.11
110Cd,1573.7,0.35,0.12
110Cd,1940.0,1.3,0.5
110Cd,2275.6,0.8,0.3
110Cd,2692.2,1.1,4.8
110Cd,1384.0,0.35,0.09
110Cd,1421.0,2.2,0.3
110Cd,1878.8,0.6,0.21
110Cd,1374.6,0.3,0.09
110Cd,1667.9,0.66,0.16
110Cd,1860.5,0.56,0.22
110Cd,2297.7,1.2,0.2
110Cd,687.1,0.6,0.21
110Cd,758.8,0.29,0.11
110Cd,993.6,0.7,0.3
110Cd,1387.2,0.77,0.15
110Cd,1617.5,0.68,0.22
110Cd,2390.9,1.5,0.3
110Cd,2351.4,0.83,0.23
110Cd,2426.9,0.31,0.08
110Cd,2768.2,1.0,0.3
110Cd,2083.1,0.93,0.25
110Cd,2330.7,0.14,0.05
110Cd,2608.0,0.8,0.3
110Cd,2705.1,2.4,0.9
110Cd,1930.7,0.42,0.16
110Cd,2124.0,0.84,0.16
110Cd,1410.5,0.21,0.07
110Cd,1958.0,0.26,0.08
110Cd,2059.0,1.2,0.2
110Cd,2455.8,1.5,0.5
110Cd,2659.6,2.1,0.4
110Cd,1786.5,0.1,0.04
110Cd,2373.2,0.39,0.12
110Cd,2506.1,1.5,0.4
110Cd,3848.5,1.7,0.3
110Cd,4265.0,2.4,0.5
110Cd,4387.6,0.61,0.17
110Cd,4417.4,2.2,0.2
111Cd,617.54,2.9,0.4
111Cd,606.85,0.153,0.006
111Cd,798.07,0.177,0.006
111Cd,851.2,0.221,0.006
111Cd,1468.87,0.13,0.003
113Cd,558.32,1860.0,30.0
113Cd,576.04,107.0,1.7
113Cd,74.95,12.3,0.5
113Cd,651.19,358.0,5.0
113Cd,1209.65,122.0,1.9
113Cd,725.19,107.0,1.3
113Cd,95.88,21.2,0.6
113Cd,746.47,9.5,0.4
113Cd,229.89,2.91,0.16
113Cd,805.85,134.0,1.8
113Cd,1364.3,123.0,2.1
113Cd,367.8,5.0,0.6
113Cd,448.51,3.1,0.4
113Cd,522.44,10.6,0.5
113Cd,477.56,12.1,0.4
113Cd,536.26,7.7,0.5
113Cd,632.17,1.9,0.4
113Cd,707.39,29.3,0.5
113Cd,1283.45,47.5,0.9
113Cd,495.35,1.43,0.17
113Cd,1300.98,31.1,1.1
113Cd,580.45,6.3,0.7
113Cd,654.47,34.1,0.9
113Cd,200.7,0.34,0.22
113Cd,648.79,34.1,0.9
113Cd,722.92,15.3,0.8
113Cd,225.77,0.55,0.18
113Cd,593.45,2.2,0.3
113Cd,748.04,37.0,3.0
113Cd,1399.54,97.7,1.5
113Cd,90.1,1.3,0.4
113Cd,205.04,0.91,0.23
113Cd,742.54,8.7,0.4
113Cd,1489.53,68.5,1.1
113Cd,2047.58,7.2,0.7
113Cd,419.98,1.15,0.22
113Cd,868.27,1.8,0.3
113Cd,942.48,2.0,0.4
113Cd,839.63,8.1,0.6
113Cd,920.78,11.1,0.5
113Cd,994.63,11.6,0.6
113Cd,1646.24,14.5,0.6
113Cd,1660.36,66.7,1.3
113Cd,1014.66,4.0,0.3
113Cd,426.52,1.96,0.22
113Cd,1826.19,25.2,0.7
113Cd,659.5,0.9,0.5
113Cd,1107.49,4.6,0.3
113Cd,1879.06,16.5,0.8
113Cd,1091.84,1.8,0.3
113Cd,2455.93,87.3,1.8
113Cd,596.33,3.9,0.4
113Cd,1176.88,6.1,0.4
113Cd,567.4,3.9,0.6
113Cd,665.4,0.9,0.6
113Cd,1161.23,7.5,0.4
113Cd,1219.53,6.9,0.7
113Cd,1315.53,8.1,0.6
113Cd,1966.8,4.3,0.9
113Cd,1995.43,10.7,0.6
113Cd,532.6,2.0,0.4
113Cd,622.0,1.4,0.4
113Cd,1370.55,30.2,0.9
113Cd,1426.0,1.3,0.6
113Cd,2078.14,15.5,1.1
113Cd,1286.35,5.6,0.4
113Cd,2649.63,16.2,1.0
113Cd,2102.39,24.0,0.9
113Cd,2141.6,7.0,0.8
113Cd,2191.08,11.2,0.6
113Cd,2199.1,2.1,0.6
113Cd,2208.99,14.0,0.9
113Cd,2767.67,22.4,1.3
113Cd,2230.1,15.5,0.9
113Cd,2788.7,4.0,0.7
113Cd,2241.8,6.2,0.7
113Cd,2799.98,27.6,0.9
113Cd,1522.89,3.2,0.5
113Cd,2248.0,4.9,0.7
113Cd,854.18,2.8,0.3
113Cd,1447.9,3.9,0.7
113Cd,2253.18,15.0,0.9
113Cd,2811.1,15.3,0.8
113Cd,600.9,1.4,0.4
113Cd,862.33,2.4,0.3
113Cd,474.4,1.5,0.3
113Cd,1652.1,5.1,0.6
113Cd,801.05,4.5,0.4
113Cd,2394.68,16.5,0.8
113Cd,2398.27,22.4,0.8
113Cd,2442.1,3.8,0.8
113Cd,2999.69,29.1,1.4
113Cd,3052.09,15.0,0.9
113Cd,3077.7,4.2,0.7
113Cd,2550.3,38.7,1.1
113Cd,3109.08,28.6,1.2
113Cd,2022.38,9.5,0.6
113Cd,2598.63,8.4,0.7
113Cd,986.95,3.1,0.5
113Cd,1247.7,2.2,0.5
113Cd,1899.98,4.2,0.6
113Cd,999.54,3.1,0.6
113Cd,1261.04,7.3,0.6
113Cd,1853.8,2.9,0.6
113Cd,2659.96,64.0,1.5
113Cd,3218.96,19.0,0.9
113Cd,803.42,11.7,0.5
113Cd,873.3,0.9,0.3
113Cd,1416.65,4.0,0.5
113Cd,2699.55,13.9,0.9
113Cd,5784.39,18.5,1.1
113Cd,5824.31,69.1,1.8
113Cd,5837.1,5.0,0.6
113Cd,5885.1,3.4,0.5
113Cd,5934.39,19.3,1.0
113Cd,5943.9,10.0,0.8
113Cd,5990.2,3.6,0.5
113Cd,6044.3,2.9,0.5
113Cd,6231.3,4.3,1.3
113Cd,6254.5,1.8,0.7
113Cd,6382.5,2.6,0.5
113Cd,6394.8,0.8,0.4
113Cd,6462.7,5.4,0.7
113Cd,6518.4,3.8,0.5
113Cd,6587.2,7.0,0.7
113Cd,6605.4,10.6,0.8
113Cd,6823.87,16.0,0.9
113Cd,6995.0,3.3,0.5
113Cd,7200.2,0.8,0.3
113Cd,7678.59,17.0,0.9
113Cd,7737.53,8.8,0.6
113Cd,7833.5,7.2,0.6
113Cd,8484.6,11.9,0.6
113Cd,9042.9,7.7,0.5
113In,30.739,0.0062,0.0009
113In,287.726,0.2,0.05
113In,306.6,0.13,0.05
113In,276.121,0.036,0.011
113In,306.86,0.062,0.018
113In,34.357,0.025,0.009
113In,38.141,0.025,0.009
113In,384.14,0.0018,0.0009
113In,340.251,0.089,0.025
113In,67.28,0.0009,0.0005
113In,105.425,0.0056,0.0016
113In,139.782,0.0016,0.0011
113In,451.428,0.018,0.005
113In,45.78,0.0006,0.0003
113In,405.66,0.0016,0.0005
113In,693.39,0.034,0.009
113In,121.978,0.1,0.03
113In,199.26,0.0004,0.00022
113In,475.38,0.0007,0.0005
113In,506.12,0.0013,0.0007
113In,437.16,0.009,0.003
113In,503.86,0.0042,0.0018
113In,724.89,0.0053,0.0018
113In,231.46,0.0022,0.0007
113In,147.308,0.034,0.009
113In,487.559,0.0042,0.0013
113In,97.21,0.0006,0.0003
113In,132.43,0.00029,0.00013
113In,538.1,0.008,0.003
113In,825.82,0.022,0.007
113In,139.34,0.065,0.018
113In,261.32,0.0022,0.0016
113In,645.46,0.0022,0.0014
113In,222.2,0.0042,0.0013
113In,412.55,0.01,0.003
113In,688.67,0.0022,0.0009
113In,719.41,0.009,0.003
113In,59.58,0.0006,0.0003
113In,193.99,0.0006,0.0003
113In,244.39,0.0008,0.0004
113In,472.4,0.012,0.004
113In,93.648,0.0009,0.0003
113In,506.2,0.0043,0.002
113In,782.32,0.0016,0.0007
113In,813.06,0.0051,0.0025
113In,182.84,0.0002,0.00011
113In,192.77,0.0007,0.0003
113In,243.31,0.002,0.0007
113In,322.19,0.011,0.003
113In,730.87,0.0014,0.0005
113In,797.57,0.0054,0.002
113In,109.66,0.0011,0.0004
113In,377.65,0.01,0.003
113In,391.39,0.0033,0.0011
113In,196.438,0.01,0.003
113In,256.91,0.0007,0.0003
113In,338.8,0.0033,0.0022
113In,261.55,0.008,0.003
113In,357.31,0.0029,0.0009
113In,403.09,0.0013,0.0005
113In,547.66,0.0045,0.0022
113In,226.92,0.00029,0.00022
113In,236.85,0.0012,0.0004
113In,334.06,0.0029,0.0009
113In,434.69,0.0031,0.0016
113In,565.52,0.0007,0.0003
113In,774.94,0.02,0.005
113In,841.64,0.011,0.005
113In,872.38,0.005,0.003
113In,108.37,0.00049,0.00024
113In,275.96,0.0029,0.0014
113In,336.43,0.0033,0.0011
113In,890.68,0.0014,0.0011
113In,921.42,0.0025,0.0011
113In,101.91,0.00034,0.00014
113In,312.92,0.0067,0.002
113In,641.59,0.0014,0.0007
113In,917.71,0.02,0.007
113In,92.833,0.0072,0.0022
113In,319.75,0.0018,0.0011
113In,527.53,0.0051,0.0016
113In,658.7,0.002,0.0009
113In,866.8,0.0009,0.0005
113In,934.47,0.0025,0.0013
113In,1155.5,0.0025,0.0011
113In,337.26,0.0018,0.0011
113In,521.37,0.002,0.0011
113In,588.65,0.0008,0.0005
113In,665.93,0.0025,0.0009
113In,875.36,0.0025,0.0016
113In,125.07,0.0004,0.00022
113In,133.05,0.0002,0.00011
113In,200.6,0.00054,0.00025
113In,344.06,0.0011,0.0005
113In,444.99,0.0016,0.0007
113In,473.47,0.0018,0.0011
113In,541.9,0.002,0.0011
113In,673.0,0.0008,0.0004
113In,948.85,0.0007,0.0005
113In,979.58,0.0016,0.0007
113In,87.2,0.0004,0.00022
113In,136.25,0.00029,0.00022
113In,166.72,0.0016,0.0005
113In,363.16,0.0033,0.0011
113In,474.03,0.0033,0.0018
113In,502.51,0.012,0.004
113In,570.94,0.009,0.003
113In,701.77,0.0014,0.0005
113In,365.89,0.0033,0.0011
113In,426.36,0.0014,0.0007
113In,508.25,0.0042,0.0022
113In,913.92,0.01,0.003
113In,252.52,0.0012,0.0004
113In,435.36,0.0076,0.0025
113In,546.23,0.0022,0.0013
113In,574.7,0.0024,0.0011
113In,577.72,0.0038,0.0013
113In,983.39,0.0029,0.0013
113In,267.34,0.0014,0.0007
113In,468.42,0.0042,0.0014
113In,607.76,0.0018,0.0007
113In,610.78,0.0013,0.0005
113In,676.19,0.0025,0.0009
113In,807.02,0.0009,0.0005
113In,1083.14,0.0031,0.0013
113In,1113.88,0.0016,0.0009
113In,156.43,0.008,0.0024
113In,249.26,0.0007,0.0003
113In,476.18,0.0009,0.0005
113In,536.65,0.0016,0.0011
113In,583.32,0.0011,0.0005
113In,615.52,0.0025,0.0011
113In,618.54,0.0033,0.0014
113In,670.22,0.0022,0.0009
113In,683.96,0.0009,0.0005
113In,737.5,0.0016,0.0007
113In,158.09,0.0025,0.0009
113In,351.89,0.0027,0.0009
113In,624.76,0.0013,0.0005
113In,627.78,0.0029,0.0013
113In,679.45,0.0029,0.0009
113In,693.2,0.0043,0.0018
113In,1033.44,0.0034,0.0014
113In,296.95,0.0016,0.0005
113In,310.55,0.0056,0.0018
113In,632.73,0.0038,0.0014
113In,792.85,0.0056,0.0018
113In,150.1,0.006,0.0022
113In,652.6,0.004,0.0014
113In,851.87,0.0009,0.0005
113In,1349.01,0.0016,0.0009
113In,65.232,0.002,0.0005
113In,73.2,0.00049,0.00024
113In,238.87,0.0006,0.0003
113In,558.62,0.0036,0.0014
113In,568.55,0.0013,0.0005
113In,1173.34,0.0025,0.0011
113In,1204.08,0.004,0.0016
113In,255.69,0.0008,0.0004
113In,599.75,0.001,0.0004
113In,729.16,0.0056,0.002
113In,928.7,0.0013,0.0007
113In,1204.53,0.004,0.0016
113In,1235.27,0.002,0.0011
113In,232.81,0.0005,0.0004
113In,399.53,0.0014,0.0005
113In,595.97,0.0011,0.0004
113In,857.29,0.0045,0.0014
113In,314.22,0.0042,0.0016
113In,451.9,0.0016,0.0007
113In,648.34,0.0033,0.0013
113In,708.81,0.0016,0.0007
113In,759.21,0.0018,0.0009
113In,986.95,0.0043,0.0016
113In,1196.37,0.0031,0.0014
113In,151.1,0.0006,0.0003
113In,375.02,0.0024,0.0013
113In,544.47,0.0025,0.0009
113In,740.91,0.0018,0.0009
113In,1355.63,0.0018,0.0009
113In,749.5,0.0014,0.0007
113In,780.1,0.0027,0.0011
113In,843.1,0.0053,0.0025
113In,5446.0,0.00051,0.00014
113In,5478.8,0.0006,0.0002
113In,5532.7,0.0008,0.00024
113In,5544.1,0.0002,9e-05
