Isotope,Energy (keV),XS or I,Info
125Te,1423.28,0.0388,"(n,g) I-S"
125Te,4293.95,0.0388,"(n,g) I-S"
125Te,215.41,0.0388,"(n,g) I-S"
125Te,4318.4,0.0388,"(n,g) I-S"
125Te,1897.52,0.0388,"(n,g) I-S"
125Te,362.64,0.0388,"(n,g) I-S"
125Te,3026.4,0.0373,"(n,g) I-S"
125Te,6268.06,0.0373,"(n,g) I-S"
125Te,1989.6,0.0373,"(n,g) I-S"
125Te,6510.05,0.0373,"(n,g) I-S"
125Te,4637.46,0.0373,"(n,g) I-S"
125Te,3252.34,0.0373,"(n,g) I-S"
125Te,1629.61,0.0373,"(n,g) I-S"
125Te,4600.3,0.0373,"(n,g) I-S"
125Te,1360.99,0.0373,"(n,g) I-S"
125Te,5907.67,0.0373,"(n,g) I-S"
125Te,1339.6,0.0373,"(n,g) I-S"
125Te,570.86,0.0373,"(n,g) I-S"
125Te,1673.5,0.0373,"(n,g) I-S"
125Te,8484.2,0.0373,"(n,g) I-S"
125Te,6587.15,0.0358,"(n,g) I-S"
125Te,1111.17,0.0358,"(n,g) I-S"
125Te,6103.53,0.0358,"(n,g) I-S"
125Te,3553.17,0.0358,"(n,g) I-S"
125Te,5611.4,0.0358,"(n,g) I-S"
125Te,844.06,0.0358,"(n,g) I-S"
125Te,2153.52,0.0358,"(n,g) I-S"
125Te,834.51,0.0358,"(n,g) I-S"
125Te,3789.37,0.0358,"(n,g) I-S"
125Te,899.86,0.0358,"(n,g) I-S"
125Te,193.42,0.0343,"(n,g) I-S"
125Te,865.18,0.0343,"(n,g) I-S"
125Te,7678.46,0.0343,"(n,g) I-S"
125Te,5402.53,0.0343,"(n,g) I-S"
125Te,5397.65,0.0343,"(n,g) I-S"
125Te,2248.38,0.0343,"(n,g) I-S"
125Te,1102.38,0.0343,"(n,g) I-S"
125Te,6636.11,0.0343,"(n,g) I-S"
125Te,5701.9,0.0343,"(n,g) I-S"
125Te,421.79,0.0343,"(n,g) I-S"
125Te,3475.11,0.0343,"(n,g) I-S"
125Te,6916.27,0.0343,"(n,g) I-S"
125Te,5926.46,0.0343,"(n,g) I-S"
125Te,2686.75,0.0343,"(n,g) I-S"
125Te,6083.54,0.0343,"(n,g) I-S"
125Te,3695.44,0.0343,"(n,g) I-S"
125Te,4121.23,0.0343,"(n,g) I-S"
125Te,5748.8,0.0343,"(n,g) I-S"
125Te,5710.39,0.0343,"(n,g) I-S"
125Te,934.92,0.0328,"(n,g) I-S"
125Te,5550.67,0.0328,"(n,g) I-S"
125Te,859.23,0.0328,"(n,g) I-S"
125Te,383.88,0.0328,"(n,g) I-S"
125Te,2119.55,0.0328,"(n,g) I-S"
125Te,1590.71,0.0328,"(n,g) I-S"
125Te,1198.99,0.0328,"(n,g) I-S"
125Te,5227.8,0.0328,"(n,g) I-S"
125Te,1116.25,0.0328,"(n,g) I-S"
125Te,4924.77,0.0328,"(n,g) I-S"
125Te,6885.71,0.0328,"(n,g) I-S"
125Te,6481.37,0.0328,"(n,g) I-S"
125Te,3472.52,0.0313,"(n,g) I-S"
125Te,2022.09,0.0313,"(n,g) I-S"
125Te,1126.57,0.0313,"(n,g) I-S"
125Te,5136.59,0.0313,"(n,g) I-S"
125Te,3763.5,0.0313,"(n,g) I-S"
125Te,1228.23,0.0313,"(n,g) I-S"
125Te,4621.6,0.0313,"(n,g) I-S"
125Te,188.15,0.0313,"(n,g) I-S"
125Te,3361.01,0.0313,"(n,g) I-S"
125Te,3030.6,0.0313,"(n,g) I-S"
125Te,5062.66,0.0313,"(n,g) I-S"
125Te,7769.24,0.0313,"(n,g) I-S"
125Te,6095.1,0.0299,"(n,g) I-P"
125Te,6098.36,0.0299,"(n,g) I-P"
125Te,6677.91,0.0299,"(n,g) I-S"
125Te,2487.28,0.0299,"(n,g) I-S"
125Te,6345.62,0.0299,"(n,g) I-S"
125Te,6758.44,0.0299,"(n,g) I-S"
125Te,4020.73,0.0299,"(n,g) I-S"
125Te,5100.66,0.0299,"(n,g) I-S"
125Te,1881.97,0.0299,"(n,g) I-S"
125Te,846.05,0.0299,"(n,g) I-S"
125Te,884.83,0.0299,"(n,g) I-S"
125Te,520.55,0.0299,"(n,g) I-S"
125Te,3617.59,0.0299,"(n,g) I-S"
125Te,1320.37,0.0299,"(n,g) I-S"
125Te,4859.63,0.0299,"(n,g) I-S"
125Te,1934.3,0.0299,"(n,g) I-S"
125Te,3785.31,0.0299,"(n,g) I-S"
125Te,989.86,0.0299,"(n,g) I-S"
125Te,739.04,0.0299,"(n,g) I-S"
125Te,1083.23,0.0299,"(n,g) I-S"
125Te,6455.09,0.0299,"(n,g) I-S"
125Te,3815.5,0.0299,"(n,g) I-S"
125Te,6255.08,0.0299,"(n,g) I-P"
125Te,757.15,0.0299,"(n,g) I-S"
125Te,195.33,0.0299,"(n,g) I-S"
125Te,1113.74,0.0299,"(n,g) I-S"
125Te,2292.63,0.0299,"(n,g) I-S"
125Te,2319.94,0.0299,"(n,g) I-S"
125Te,1029.28,0.0299,"(n,g) I-S"
125Te,249.13,0.0299,"(n,g) I-S"
125Te,6195.79,0.0299,"(n,g) I-S"
125Te,6590.6,0.0299,"(n,g) I-S"
125Te,6177.83,0.0299,"(n,g) I-P"
125Te,4773.48,0.0284,"(n,g) I-S"
125Te,6895.82,0.0284,"(n,g) I-S"
125Te,2963.9,0.0284,"(n,g) I-S"
125Te,5976.78,0.0284,"(n,g) I-S"
125Te,230.05,0.0284,"(n,g) I-S"
125Te,3227.35,0.0284,"(n,g) I-S"
125Te,6076.09,0.0284,"(n,g) I-S"
125Te,1342.67,0.0284,"(n,g) I-S"
125Te,2336.5,0.0284,"(n,g) I-S"
125Te,1237.85,0.0284,"(n,g) I-S"
125Te,3572.95,0.0269,"(n,g) I-S"
125Te,5411.6,0.0269,"(n,g) I-S"
125Te,2484.86,0.0269,"(n,g) I-S"
125Te,5770.46,0.0269,"(n,g) I-S"
125Te,4835.7,0.0269,"(n,g) I-S"
125Te,2067.89,0.0269,"(n,g) I-S"
125Te,5058.14,0.0269,"(n,g) I-S"
125Te,1352.92,0.0269,"(n,g) I-S"
125Te,3605.48,0.0269,"(n,g) I-S"
125Te,1798.13,0.0269,"(n,g) I-S"
125Te,5208.36,0.0269,"(n,g) I-S"
125Te,4753.7,0.0269,"(n,g) I-S"
125Te,6772.82,0.0269,"(n,g) I-S"
125Te,995.63,0.0254,"(n,g) I-S"
125Te,191.52,0.0254,"(n,g) I-S"
125Te,522.65,0.0254,"(n,g) I-S"
125Te,3006.2,0.0254,"(n,g) I-S"
125Te,6762.24,0.0254,"(n,g) I-S"
125Te,1233.77,0.0254,"(n,g) I-S"
125Te,914.8,0.0254,"(n,g) I-S"
125Te,4450.11,0.0254,"(n,g) I-S"
125Te,891.78,0.0254,"(n,g) I-S"
125Te,2566.49,0.0254,"(n,g) I-S"
125Te,6422.9,0.0239,"(n,g) I-S"
125Te,5129.55,0.0239,"(n,g) I-S"
125Te,5488.56,0.0239,"(n,g) I-S"
125Te,5204.45,0.0239,"(n,g) I-S"
125Te,339.69,0.0239,"(n,g) I-S"
125Te,1954.38,0.0239,"(n,g) I-S"
125Te,2173.66,0.0239,"(n,g) I-S"
125Te,3446.15,0.0239,"(n,g) I-S"
125Te,5039.09,0.0239,"(n,g) I-S"
125Te,494.05,0.0239,"(n,g) I-S"
125Te,5634.7,0.0239,"(n,g) I-S"
125Te,2363.17,0.0239,"(n,g) I-S"
125Te,904.14,0.0224,"(n,g) I-S"
125Te,2690.21,0.0224,"(n,g) I-S"
125Te,6448.05,0.0224,"(n,g) I-S"
125Te,973.69,0.0224,"(n,g) I-S"
125Te,911.64,0.0224,"(n,g) I-S"
125Te,6366.65,0.0224,"(n,g) I-S"
125Te,6163.35,0.0224,"(n,g) I-S"
125Te,6659.36,0.0224,"(n,g) I-S"
125Te,1571.02,0.0224,"(n,g) I-S"
125Te,3259,0.0224,"(n,g) I-S"
125Te,4850.85,0.0224,"(n,g) I-S"
125Te,1767.01,0.0224,"(n,g) I-S"
125Te,1787.63,0.0224,"(n,g) I-S"
125Te,341.32,0.0209,"(n,g) I-S"
125Te,238.24,0.0209,"(n,g) I-S"
125Te,3979.6,0.0209,"(n,g) I-S"
125Te,5390.42,0.0209,"(n,g) I-S"
125Te,6949.33,0.0209,"(n,g) I-S"
125Te,1559.96,0.0209,"(n,g) I-S"
125Te,987.53,0.0209,"(n,g) I-S"
125Te,1169.15,0.0209,"(n,g) I-S"
125Te,5948.97,0.0209,"(n,g) I-S"
125Te,1202.04,0.0194,"(n,g) I-S"
125Te,6563.2,0.0194,"(n,g) I-S"
125Te,7383.69,0.0194,"(n,g) I-S"
125Te,390.67,0.0194,"(n,g) I-S"
125Te,2266.34,0.0194,"(n,g) I-S"
125Te,5493.16,0.0194,"(n,g) I-S"
125Te,6309.34,0.0194,"(n,g) I-S"
125Te,1793.23,0.0194,"(n,g) I-S"
125Te,6241.32,0.0194,"(n,g) I-S"
125Te,6971.96,0.0194,"(n,g) I-S"
125Te,6702.39,0.0179,"(n,g) I-S"
125Te,1785.04,0.0179,"(n,g) I-S"
125Te,7208.16,0.0179,"(n,g) I-S"
125Te,6788.61,0.0179,"(n,g) I-S"
125Te,5114.6,0.0179,"(n,g) I-S"
125Te,7833.37,0.0179,"(n,g) I-S"
125Te,6996.4,0.0179,"(n,g) I-S"
125Te,1742.72,0.0179,"(n,g) I-S"
125Te,940.24,0.0179,"(n,g) I-S"
125Te,1078.39,0.0179,"(n,g) I-S"
125Te,5995.9,0.0179,"(n,g) I-S"
125Te,5574.11,0.0179,"(n,g) I-S"
125Te,2132.8,0.0179,"(n,g) I-S"
125Te,7256.84,0.0164,"(n,g) I-S"
125Te,1404.47,0.0164,"(n,g) I-S"
125Te,6853.1,0.0164,"(n,g) I-S"
125Te,5566.93,0.0164,"(n,g) I-S"
125Te,1409.28,0.0164,"(n,g) I-S"
125Te,6986.24,0.0164,"(n,g) I-S"
125Te,5999.1,0.0164,"(n,g) I-S"
125Te,5897.3,0.0164,"(n,g) I-S"
125Te,6294.55,0.0164,"(n,g) I-S"
125Te,3093.8,0.0149,"(n,g) I-S"
125Te,717.18,0.0149,"(n,g) I-S"
125Te,6579.36,0.0149,"(n,g) I-P"
125Te,7125.6,0.0149,"(n,g) I-S"
125Te,3602.9,0.0149,"(n,g) I-S"
125Te,7177.1,0.0149,"(n,g) I-S"
125Te,649.22,0.0149,"(n,g) I-S"
125Te,267.06,0.0149,"(n,g) I-S"
125Te,7736.81,0.0149,"(n,g) I-S"
125Te,2586.79,0.0149,"(n,g) I-S"
125Te,9042.66,0.0149,"(n,g) I-S"
125Te,1619.8,0.0149,"(n,g) I-S"
125Te,6736.8,0.0149,"(n,g) I-S"
125Te,394.84,0.0149,"(n,g) I-S"
125Te,6351.48,0.0149,"(n,g) I-S"
125Te,6692.13,0.0149,"(n,g) I-P"
125Te,5481.81,0.0149,"(n,g) I-S"
125Te,699.1,0.0149,"(n,g) I-S"
125Te,236.09,0.0149,"(n,g) I-S"
125Te,208.92,0.0149,"(n,g) I-S"
125Te,1220.02,0.0149,"(n,g) I-S"
125Te,1189.46,0.0149,"(n,g) I-S"
125Te,223.02,0.0134,"(n,g) I-S"
125Te,2944.3,0.0134,"(n,g) I-S"
125Te,3802.8,0.0134,"(n,g) I-S"
125Te,3621.37,0.0134,"(n,g) I-S"
125Te,7434.46,0.0134,"(n,g) I-S"
125Te,6169,0.0134,"(n,g) I-S"
125Te,1350.33,0.0134,"(n,g) I-S"
125Te,6386.6,0.0134,"(n,g) I-S"
125Te,6815,0.0134,"(n,g) I-S"
125Te,6672.3,0.0134,"(n,g) I-S"
125Te,7058.84,0.0119,"(n,g) I-S"
125Te,5345.3,0.0119,"(n,g) I-S"
125Te,8173.96,0.0119,"(n,g) I-S"
125Te,271.41,0.0119,"(n,g) I-S"
125Te,7496.1,0.0119,"(n,g) I-S"
125Te,5591.4,0.0119,"(n,g) I-S"
125Te,6011.2,0.0119,"(n,g) I-S"
125Te,5049,0.0119,"(n,g) I-S"
125Te,1468.04,0.0119,"(n,g) I-S"
125Te,7405.27,0.0119,"(n,g) I-S"
125Te,7315.38,0.0104,"(n,g) I-S"
125Te,7190,0.0104,"(n,g) I-S"
125Te,6540.3,0.0104,"(n,g) I-S"
125Te,6805,0.0104,"(n,g) I-S"
125Te,917.96,0.009,"(n,g) I-S"
125Te,7539.5,0.009,"(n,g) I-S"
125Te,9105.4,0.009,"(n,g) I-S"
125Te,6340.1,0.009,"(n,g) I-S"
125Te,6874.5,0.009,"(n,g) I-S"
125Te,7427.2,0.009,"(n,g) I-S"
125Te,6723.6,0.009,"(n,g) I-S"
125Te,6413.9,0.009,"(n,g) I-S"
125Te,7110.2,0.009,"(n,g) I-S"
125Te,7045.7,0.009,"(n,g) I-S"
125Te,7168.5,0.009,"(n,g) I-S"
125Te,7035.2,0.009,"(n,g) I-S"
125Te,7271.4,0.009,"(n,g) I-S"
125Te,7760.8,0.0075,"(n,g) I-S"
125Te,6498.6,0.0075,"(n,g) I-S"
125Te,7686.9,0.0075,"(n,g) I-S"
125Te,7024.6,0.0075,"(n,g) I-S"
125Te,7017.1,0.0075,"(n,g) I-S"
125Te,7520.7,0.0075,"(n,g) I-S"
125Te,7390.9,0.0075,"(n,g) I-S"
125Te,7142.1,0.0075,"(n,g) I-S"
125Te,7152.6,0.006,"(n,g) I-S"
125Te,8858.7,0.006,"(n,g) I-S"
125Te,7441.86,0.006,"(n,g) I-S"
125Te,7482.3,0.006,"(n,g) I-S"
125Te,7363.8,0.006,"(n,g) I-S"
125Te,6647.8,0.006,"(n,g) I-S"
125Te,7753.3,0.006,"(n,g) I-S"
125Te,8489.2,0.0045,"(n,g) I-S"
125Te,8023,0.0045,"(n,g) I-S"
125Te,7886.4,0.0045,"(n,g) I-S"
125Te,9096.5,0.0045,"(n,g) I-S"
125Te,7554.5,0.0045,"(n,g) I-S"
125Te,8777.5,0.003,"(n,g) I-S"
125Te,7567,0.003,"(n,g) I-S"
125Te,7464.4,0.003,"(n,g) I-S"
125Te,8610.3,0.003,"(n,g) I-S"
125Te,8001.9,0.003,"(n,g) I-S"
125Te,8437.6,0.003,"(n,g) I-S"
125Te,7860.33,0.003,"(n,g) I-S"
125Te,7961.8,0.003,"(n,g) I-S"
125Te,8917.6,0.0015,"(n,g) I-S"
125Te,8397.9,0.0015,"(n,g) I-S"
125Te,8030.3,0.0015,"(n,g) I-S"
128Te,180.33,100,"(n,g) I-S"
128Te,3721.87,44.4091,"(n,g) I-P"
128Te,2180.12,39.0909,"(n,g) I-S"
128Te,3377.26,23.7273,"(n,g) I-P"
128Te,3702.82,23.4773,"(n,g) I-P"
128Te,359.19,17.2727,"(n,g) I-S"
128Te,2199.21,12.9545,"(n,g) I-S"
128Te,544.61,12.2045,"(n,g) I-S"
128Te,2524.78,10.9091,"(n,g) I-S"
128Te,633.78,8.9091,"(n,g) I-S"
128Te,2289.99,8.7045,"(n,g) I-P"
128Te,2705.07,7.3409,"(n,g) I-S"
128Te,2360.42,7.3182,"(n,g) I-S"
128Te,874.78,7.2273,"(n,g) I-S"
128Te,874.78,7.2273,"(n,g) I-S"
128Te,756.59,7.0455,"(n,g) I-S"
128Te,654.3,6.4773,"(n,g) I-S"
128Te,773.22,6.3409,"(n,g) I-S"
128Te,697.59,6.0682,"(n,g) I-S"
128Te,3815.14,5.4318,"(n,g) I-P"
128Te,694.49,4.9318,"(n,g) I-S"
128Te,3612.02,4.8636,"(n,g) I-S"
128Te,1830.22,4.8182,"(n,g) I-S"
128Te,4042.11,4.75,"(n,g) I-P"
128Te,2379.51,4.6818,"(n,g) I-S"
128Te,1717.8,4,"(n,g) I-P"
128Te,1859.64,3.4318,"(n,g) I-S"
128Te,2086.84,3,"(n,g) I-S"
128Te,966.87,2.8409,"(n,g) I-S"
128Te,295.27,2.7955,"(n,g) I-S"
128Te,3557.6,2.6364,"(n,g) I-P"
128Te,2518.02,2.5909,"(n,g) I-P"
128Te,2524.78,2.5,"(n,g) I-S"
128Te,330.32,2.5,"(n,g) I-S"
128Te,2579.78,2.4091,"(n,g) I-P"
128Te,3564.71,2.3636,"(n,g) I-S"
128Te,689.22,2.2955,"(n,g) I-S"
128Te,453.33,2.2955,"(n,g) I-S"
128Te,3860.59,2.2727,"(n,g) I-P"
128Te,2221.5,2.2273,"(n,g) I-S"
128Te,2443.99,2.2045,"(n,g) I-P"
128Te,1693.45,2.1136,"(n,g) I-P"
128Te,592.81,2.0227,"(n,g) I-S"
128Te,3500.59,1.9545,"(n,g) I-P"
128Te,3902.14,1.9318,"(n,g) I-S"
128Te,2216.96,1.9318,"(n,g) I-P"
128Te,1158.37,1.8864,"(n,g) I-S"
128Te,4364.38,1.8864,"(n,g) I-S"
128Te,2535.47,1.7955,"(n,g) I-P"
128Te,3355.14,1.6591,"(n,g) I-S"
128Te,2040.38,1.6136,"(n,g) I-S"
128Te,3638.36,1.5682,"(n,g) I-S"
128Te,1994.92,1.5455,"(n,g) I-P"
128Te,2726.7,1.5455,"(n,g) I-P"
128Te,2652.3,1.4773,"(n,g) I-P"
128Te,4433.6,1.4773,"(n,g) I-S"
128Te,461.47,1.4773,"(n,g) I-S"
128Te,3348.6,1.4545,"(n,g) I-S"
128Te,800.04,1.4318,"(n,g) I-S"
128Te,1961.16,1.4318,"(n,g) I-P"
128Te,1948.81,1.3864,"(n,g) I-P"
128Te,1606.6,1.3636,"(n,g) I-S"
128Te,5901.55,1.3409,"(n,g) I-P"
128Te,1861.8,1.3182,"(n,g) I-P"
128Te,1123.01,1.2955,"(n,g) I-S"
128Te,1504.3,1.2955,"(n,g) I-S"
128Te,2433.65,1.2727,"(n,g) I-P"
128Te,3684.74,1.25,"(n,g) I-S"
128Te,812.93,1.2273,"(n,g) I-S"
128Te,3528.4,1.2273,"(n,g) I-S"
128Te,2837.35,1.2045,"(n,g) I-S"
128Te,2229.63,1.2045,"(n,g) I-P"
128Te,3589.41,1.1818,"(n,g) I-P"
128Te,1617.95,1.1818,"(n,g) I-S"
128Te,1656.29,1.1818,"(n,g) I-S"
128Te,2049.87,1.1591,"(n,g) I-P"
128Te,3853.6,1.1364,"(n,g) I-S"
128Te,1708.4,1.1364,"(n,g) I-S"
128Te,1097.9,1.1136,"(n,g) I-S"
128Te,1842.1,1.1136,"(n,g) I-P"
128Te,1677.29,1.0909,"(n,g) I-S"
128Te,800.4,1.0909,"(n,g) I-S"
128Te,1421.36,1.0909,"(n,g) I-S"
128Te,1649.47,1.0909,"(n,g) I-P"
128Te,2194.03,1.0455,"(n,g) I-S"
128Te,2374.71,1.0455,"(n,g) I-S"
128Te,4133.23,1.0455,"(n,g) I-S"
128Te,1493.91,1.0227,"(n,g) I-P"
128Te,338.65,1.0227,"(n,g) I-S"
128Te,4208.4,1,"(n,g) I-S"
128Te,4184,1,"(n,g) I-S"
128Te,2107.3,1,"(n,g) I-S"
128Te,2071.03,0.9773,"(n,g) I-S"
128Te,2554.06,0.9773,"(n,g) I-P"
128Te,818.86,0.9773,"(n,g) I-S"
128Te,992.52,0.9773,"(n,g) I-S"
128Te,707.21,0.9318,"(n,g) I-S"
128Te,1805.35,0.9091,"(n,g) I-P"
128Te,689.22,0.9091,"(n,g) I-S"
128Te,3792.4,0.8864,"(n,g) I-S"
128Te,3468.7,0.8864,"(n,g) I-S"
128Te,1559.66,0.8864,"(n,g) I-S"
128Te,6082,0.8864,"(n,g) I-P"
128Te,1139.21,0.8864,"(n,g) I-S"
128Te,1281.59,0.8864,"(n,g) I-S"
128Te,736.94,0.8636,"(n,g) I-S"
128Te,1851.28,0.8409,"(n,g) I-S"
128Te,1034.97,0.8182,"(n,g) I-S"
128Te,1053.36,0.8182,"(n,g) I-S"
128Te,1045.83,0.8182,"(n,g) I-S"
128Te,1000.26,0.7727,"(n,g) I-S"
128Te,1619.5,0.7727,"(n,g) I-S"
128Te,2041.6,0.7727,"(n,g) I-S"
128Te,2022.67,0.7727,"(n,g) I-S"
128Te,3127.1,0.7727,"(n,g) I-S"
128Te,1901.77,0.7727,"(n,g) I-P"
128Te,1485.48,0.75,"(n,g) I-S"
128Te,3457.6,0.75,"(n,g) I-S"
128Te,1418.07,0.75,"(n,g) I-S"
128Te,2606.89,0.75,"(n,g) I-S"
128Te,4174.6,0.7273,"(n,g) I-S"
128Te,3053.7,0.7045,"(n,g) I-S"
128Te,1682.5,0.7045,"(n,g) I-S"
128Te,2989.3,0.7045,"(n,g) I-S"
128Te,1649.47,0.7045,"(n,g) I-S"
128Te,1931.91,0.7045,"(n,g) I-S"
128Te,149.65,0.7045,"(n,g) I-S"
128Te,2066.7,0.6818,"(n,g) I-S"
128Te,3882.2,0.6818,"(n,g) I-S"
128Te,3046.5,0.6591,"(n,g) I-S"
128Te,1493.91,0.6591,"(n,g) I-S"
128Te,1569.84,0.6364,"(n,g) I-S"
128Te,3322,0.6364,"(n,g) I-S"
128Te,1878.1,0.6364,"(n,g) I-P"
128Te,1726.24,0.6364,"(n,g) I-P"
128Te,480.22,0.6364,"(n,g) I-S"
128Te,416.67,0.6136,"(n,g) I-S"
128Te,2401.74,0.6136,"(n,g) I-S"
128Te,3412.2,0.6136,"(n,g) I-S"
128Te,3391.2,0.6136,"(n,g) I-S"
128Te,1731.9,0.6136,"(n,g) I-S"
128Te,786.45,0.6136,"(n,g) I-S"
128Te,1470.9,0.6136,"(n,g) I-S"
128Te,786.45,0.6136,"(n,g) I-S"
128Te,1234.5,0.5909,"(n,g) I-S"
128Te,3672.2,0.5909,"(n,g) I-S"
128Te,1633.6,0.5909,"(n,g) I-S"
128Te,2554,0.5909,"(n,g) I-S"
128Te,1095.47,0.5909,"(n,g) I-S"
128Te,1834.9,0.5909,"(n,g) I-S"
128Te,3952.8,0.5909,"(n,g) I-S"
128Te,669.64,0.5682,"(n,g) I-S"
128Te,3907.2,0.5682,"(n,g) I-S"
128Te,2336.4,0.5682,"(n,g) I-S"
128Te,2480.44,0.5682,"(n,g) I-S"
128Te,1770.41,0.5682,"(n,g) I-S"
128Te,4246,0.5455,"(n,g) I-S"
128Te,4390.1,0.5455,"(n,g) I-S"
128Te,2079.5,0.5455,"(n,g) I-S"
128Te,1999.5,0.5455,"(n,g) I-S"
128Te,3849.8,0.5455,"(n,g) I-S"
128Te,1745.7,0.5455,"(n,g) I-S"
128Te,3940.4,0.5455,"(n,g) I-S"
128Te,1155.57,0.5227,"(n,g) I-S"
128Te,4252,0.5227,"(n,g) I-S"
128Te,1303.6,0.5227,"(n,g) I-S"
128Te,367.9,0.5227,"(n,g) I-S"
128Te,2994,0.5227,"(n,g) I-S"
128Te,4523,0.5227,"(n,g) I-P"
128Te,4426.8,0.5227,"(n,g) I-P"
128Te,4407,0.5,"(n,g) I-S"
128Te,5449.4,0.5,"(n,g) I-P"
128Te,4001.5,0.5,"(n,g) I-S"
128Te,3366.3,0.5,"(n,g) I-S"
128Te,344.55,0.5,"(n,g) I-S"
128Te,916.13,0.5,"(n,g) I-S"
128Te,527.9,0.5,"(n,g) I-S"
128Te,2898.9,0.5,"(n,g) I-S"
128Te,1784.58,0.5,"(n,g) I-P"
128Te,2878.8,0.4773,"(n,g) I-S"
128Te,1920.7,0.4773,"(n,g) I-S"
128Te,4903.4,0.4773,"(n,g) I-S"
128Te,4588.5,0.4773,"(n,g) I-S"
128Te,1324.6,0.4773,"(n,g) I-S"
128Te,1056.53,0.4773,"(n,g) I-S"
128Te,4204,0.4773,"(n,g) I-S"
128Te,1232.4,0.4773,"(n,g) I-S"
128Te,4060.5,0.4773,"(n,g) I-S"
128Te,1287.62,0.4545,"(n,g) I-S"
128Te,590,0.4545,"(n,g) I-S"
128Te,1105.46,0.4545,"(n,g) I-S"
128Te,1906.9,0.4545,"(n,g) I-P"
128Te,648.11,0.4318,"(n,g) I-S"
128Te,729.97,0.4318,"(n,g) I-S"
128Te,2652.3,0.4318,"(n,g) I-S"
128Te,2343.7,0.4318,"(n,g) I-S"
128Te,1301.5,0.4091,"(n,g) I-S"
128Te,1379.33,0.4091,"(n,g) I-S"
128Te,2134.5,0.4091,"(n,g) I-S"
128Te,666.98,0.4091,"(n,g) I-S"
128Te,1253.87,0.4091,"(n,g) I-S"
128Te,3545.1,0.3864,"(n,g) I-S"
128Te,4297.7,0.3864,"(n,g) I-S"
128Te,684.6,0.3864,"(n,g) I-S"
128Te,5133.8,0.3864,"(n,g) I-S"
128Te,1360.4,0.3864,"(n,g) I-S"
128Te,1752.6,0.3864,"(n,g) I-S"
128Te,2059.6,0.3864,"(n,g) I-S"
128Te,1318.54,0.3636,"(n,g) I-S"
128Te,2721.6,0.3636,"(n,g) I-S"
128Te,1541.1,0.3636,"(n,g) I-S"
128Te,1514.2,0.3636,"(n,g) I-S"
128Te,2542.7,0.3636,"(n,g) I-S"
128Te,786.45,0.3409,"(n,g) I-S"
128Te,1439.7,0.3409,"(n,g) I-S"
128Te,4076.7,0.3409,"(n,g) I-S"
128Te,1529.55,0.3409,"(n,g) I-S"
128Te,1338.8,0.3409,"(n,g) I-S"
128Te,364.26,0.3409,"(n,g) I-S"
128Te,704.4,0.3182,"(n,g) I-S"
128Te,2754.8,0.3182,"(n,g) I-S"
128Te,3888.7,0.3182,"(n,g) I-S"
128Te,3787.7,0.3182,"(n,g) I-S"
128Te,1848.3,0.3182,"(n,g) I-S"
128Te,1091.42,0.3182,"(n,g) I-S"
128Te,2493.1,0.3182,"(n,g) I-S"
128Te,1072.34,0.3182,"(n,g) I-S"
128Te,1586.7,0.3182,"(n,g) I-S"
128Te,2164.9,0.3182,"(n,g) I-S"
128Te,1401.4,0.2955,"(n,g) I-S"
128Te,1150.17,0.2955,"(n,g) I-S"
128Te,1211.9,0.2955,"(n,g) I-S"
128Te,1221.23,0.2955,"(n,g) I-S"
128Te,3876.7,0.2955,"(n,g) I-S"
128Te,1208.3,0.2727,"(n,g) I-S"
128Te,2410,0.2727,"(n,g) I-S"
128Te,2267.1,0.2727,"(n,g) I-S"
128Te,3824.1,0.2727,"(n,g) I-S"
128Te,2312.7,0.2727,"(n,g) I-S"
128Te,5049.7,0.2727,"(n,g) I-S"
128Te,2627.7,0.2727,"(n,g) I-S"
128Te,641.84,0.25,"(n,g) I-S"
128Te,384.75,0.25,"(n,g) I-S"
128Te,2670.4,0.25,"(n,g) I-S"
128Te,3237.3,0.25,"(n,g) I-S"
128Te,1526.4,0.25,"(n,g) I-S"
128Te,1273.5,0.25,"(n,g) I-S"
128Te,885,0.25,"(n,g) I-S"
128Te,1556.53,0.25,"(n,g) I-S"
128Te,2371.1,0.25,"(n,g) I-S"
128Te,4919.6,0.25,"(n,g) I-S"
128Te,546.98,0.25,"(n,g) I-S"
128Te,723.22,0.25,"(n,g) I-S"
128Te,3018.7,0.25,"(n,g) I-S"
128Te,1549,0.2273,"(n,g) I-S"
128Te,4096.5,0.2273,"(n,g) I-S"
128Te,1126.1,0.2273,"(n,g) I-S"
128Te,300.81,0.2273,"(n,g) I-S"
128Te,773.22,0.2273,"(n,g) I-S"
128Te,1342.2,0.2273,"(n,g) I-S"
128Te,1358.1,0.2273,"(n,g) I-S"
128Te,984.1,0.2273,"(n,g) I-S"
128Te,937.4,0.2273,"(n,g) I-S"
128Te,3250,0.2273,"(n,g) I-S"
128Te,599.34,0.2273,"(n,g) I-S"
128Te,2581.5,0.2045,"(n,g) I-S"
128Te,623.87,0.2045,"(n,g) I-S"
128Te,996.3,0.2045,"(n,g) I-S"
128Te,889,0.2045,"(n,g) I-S"
128Te,1412.4,0.1818,"(n,g) I-S"
128Te,4859.8,0.1818,"(n,g) I-S"
128Te,2630,0.1818,"(n,g) I-S"
128Te,531.46,0.1818,"(n,g) I-S"
